region_id,lgd_code,name
block_4686,4686,AGALI
block_4687,4687,AMADAGUR
block_4688,4688,AMARAPURAM
block_4689,4689,ANANTAPUR
block_4690,4690,ATMAKUR
block_4691,4691,BATHALAPALLE
block_4692,4692,BELUGUPPA
block_4693,4693,BOMMANAHAL
block_4694,4694,BRAHMASAMUDRAM
block_4695,4695,BUKKAPATNAM
block_4696,4696,BUKKARAYASAMUDRAM
block_4697,4697,CHENNEKOTHAPALLE
block_4698,4698,CHILAMATHUR
block_4699,4699,D.HIREHAL
block_4700,4700,DHARMAVARAM
block_4701,4701,GANDLAPENTA
block_4702,4702,GARLADINNE
block_4703,4703,GOOTY
block_4704,4704,GORANTLA
block_4705,4705,GUDIBANDA
block_4706,4706,GUMMAGATTA
block_4707,4707,GUNTAKAL
block_4708,4708,HINDUPUR
block_4709,4709,KADIRI
block_4710,4710,KALYANDRUG
block_4711,4711,KAMBADUR
block_4712,4712,KANAGANAPALLE
block_4713,4713,KANEKAL
block_4714,4714,KOTHACHERUVU
block_4715,4715,KUDAIR
block_4716,4716,KUNDURPI
block_4717,4717,LEPAKSHI
block_4718,4718,MADAKASIRA
block_4719,4719,MUDIGUBBA
block_4720,4720,NALLACHERUVU
block_4721,4721,NALLAMADA
block_4722,4722,NAMBULAPULIKUNTA
block_4723,4723,NARPALA
block_4724,4724,OBULADEVARECHERUVU
block_4725,4725,PAMIDI
block_4726,4726,PARIGI
block_4727,4727,PEDDAPAPPUR
block_4728,4728,PEDDAVADUGUR
block_4729,4729,PENUKONDA
block_4730,4730,PUTLUR
block_4731,4731,PUTTAPARTHI
block_4732,4732,RAMAGIRI
block_4733,4733,RAPTADU
block_4734,4734,RAYADURG
block_4735,4735,RODDAM
block_4736,4736,ROLLA
block_4737,4737,SETTUR
block_4738,4738,SINGANAMALA
block_4739,4739,SOMANDEPALLE
block_4740,4740,TADIMARRI
block_4741,4741,TADIPATRI
block_4742,4742,TALUPULA
block_4743,4743,TANAKAL
block_4744,4744,URAVAKONDA
block_4745,4745,VAJRAKARUR
block_4746,4746,VIDAPANAKAL
block_4747,4747,YADIKI
block_4748,4748,YELLANUR
block_4749,4749,B.KOTHAKOTA
block_4750,4750,BAIREDDIPALLE
block_4751,4751,BANGARUPALEM
block_4752,4752,BUCHINADIDU KHANDRIGA
block_4753,4753,CHANDRAGIRI
block_4754,4754,CHINNAGOTTIGALLU
block_4755,4755,CHITTOOR
block_4756,4756,CHOWDEPALLE
block_4757,4757,GANGADHARA NELLORE
block_4758,4758,GANGAVARAM
block_4759,4759,GUDIPALA
block_4760,4760,GUDUPALLE
block_4761,4761,GURRAMKONDA
block_4762,4762,IRALA
block_4763,4763,K.V.B.PURAM
block_4764,4764,KALAKADA
block_4765,4765,KALIKIRI
block_4766,4766,KAMBHAMVARIPALLE
block_4767,4767,KARVETINAGAR
block_4768,4768,KUPPAM
block_4769,4769,KURABALAKOTA
block_4770,4770,MADANAPALLE
block_4771,4771,MULAKALACHERUVU
block_4772,4772,NAGALAPURAM
block_4773,4773,NAGARI
block_4774,4774,NARAYANAVANAM
block_4775,4775,NIMMANAPALLE
block_4776,4776,NINDRA
block_4777,4777,PAKALA
block_4778,4778,PALAMANER
block_4779,4779,PALASAMUDRAM
block_4780,4780,PEDDAMANDYAM
block_4781,4781,PEDDAPANJANI
block_4782,4782,PEDDATHIPPASAMUDRAM
block_4783,4783,PENUMURU
block_4784,4784,PILER
block_4785,4785,PITCHATUR
block_4786,4786,PULICHERLA H/O REDDIVARIPALLE
block_4787,4787,PUNGANUR
block_4788,4788,PUTHALAPATTU
block_4789,4789,PUTTUR
block_4790,4790,RAMACHANDRAPURAM
block_4791,4791,RAMAKUPPAM
block_4792,4792,RAMASAMUDRAM
block_4793,4793,RENIGUNTA
block_4794,4794,ROMPICHERLA
block_4795,4795,SANTHIPURAM HO ARIMUTHANAPALLE
block_4796,4796,SATYAVEDU
block_4797,4797,SODAM
block_4798,4798,SOMALA
block_4799,4799,SRIKALAHASTI
block_4800,4800,SRIRANGARAJAPURAM
block_4801,4801,THAMBALLAPALLE
block_4802,4802,THAVANAMPALLE
block_4803,4803,THOTTAMBEDU
block_4804,4804,TIRUPATI (RURAL)
block_4806,4806,VADAMALAPETA
block_4807,4807,VALMIKIPURAM
block_4808,4808,VARADAIAHPALEM
block_4809,4809,VEDURUKUPPAM
block_4810,4810,VENKATAGIRIKOTA
block_4811,4811,VIJAYAPURAM
block_4812,4812,YADAMARI
block_4813,4813,YERPEDU
block_4814,4814,YERRAVARIPALEM
block_4815,4815,ATLUR
block_4816,4816,B.KODUR
block_4817,4817,BADVEL
block_4818,4818,BRAHMAMGARIMATHAM.
block_4819,4819,CHAKRAYAPET
block_4820,4820,CHAPADU
block_4821,4821,CHENNUR
block_4822,4822,CHINNAMANDEM
block_4823,4823,CHINTAKOMMA DINNE
block_4824,4824,CHITVEL
block_4825,4825,DUVVUR
block_4826,4826,GALIVEEDU
block_4827,4827,GOPAVARAM
block_4828,4828,JAMMALAMADUGU
block_4829,4829,KALASAPADU
block_4830,4830,KAMALAPURAM
block_4831,4831,KHAJIPET
block_4832,4832,KODUR
block_4833,4833,KONDAPURAM
block_4834,4834,LAKKIREDDIPALLE
block_4835,4835,LINGALA
block_4836,4836,MUDDANUR
block_4837,4837,MYDUKUR
block_4838,4838,MYLAVARAM
block_4839,4839,NANDALUR
block_4840,4840,OBULAVARIPALLE
block_4841,4841,PEDDAMUDIUM
block_4842,4842,PENAGALUR
block_4843,4843,PENDLIMARRI
block_4844,4844,PORUMAMILLA
block_4845,4845,PRODDATUR
block_4846,4846,PULIVENDLA
block_4847,4847,PULLAMPETA
block_4848,4848,RAJAMPET
block_4849,4849,RAJUPALEM
block_4850,4850,RAMAPURAM
block_4851,4851,RAYACHOTY
block_4852,4852,SAMBEPALLE
block_4853,4853,SIDHOUT
block_4854,4854,SIMHADRIPURAM
block_4855,4855,SRI AVADUTHA KASINAYANA
block_4856,4856,T.SUNDUPALLE
block_4857,4857,THONDUR
block_4858,4858,VALLUR
block_4859,4859,VEERABALLI
block_4860,4860,VEERAPANAYANI PALLE
block_4861,4861,VEMPALLE
block_4862,4862,VEMULA
