region_id,lgd_code,name
mandal_04731,4731,KUNAVARAM
mandal_04732,4732,CHINTURU
mandal_04733,4733,VARARAMACHANDRAPURAM
mandal_04734,4734,VELAIRPADU
mandal_04735,4735,KUKUNOOR
mandal_04769,4769,VEERAGHATTAM
mandal_04770,4770,SEETHAMPETA
mandal_04771,4771,BHAMINI
mandal_04772,4772,KOTHURU
mandal_04773,4773,PATHAPATNAM
mandal_04774,4774,MELIAPUTTI
mandal_04775,4775,PALASA
mandal_04776,4776,MANDASA
mandal_04777,4777,KANCHILI
mandal_04778,4778,ICHCHAPURAM
mandal_04779,4779,KAVITI
mandal_04780,4780,SOMPETA
mandal_04781,4781,VAJRAPUKOTTURU
mandal_04782,4782,NANDIGAM
mandal_04783,4783,HIRAMANDALAM
mandal_04784,4784,PALAKONDA
mandal_04785,4785,VANGARA
mandal_04786,4786,REGIDI AMADALAVALASA
mandal_04787,4787,LAXMINARASUPETA
mandal_04788,4788,SARAVAKOTA
mandal_04789,4789,TEKKALI
mandal_04790,4790,SANTHABOMMALI
mandal_04791,4791,KOTABOMMALI
mandal_04792,4792,JALUMURU
mandal_04793,4793,SARUBUJJILI
mandal_04794,4794,BURJA
mandal_04795,4795,SANTHAKAVITI
mandal_04796,4796,RAJAM
mandal_04797,4797,GANGUVARISIGADAM
mandal_04798,4798,AMADALAVALASA
mandal_04799,4799,NARASANNAPETA
mandal_04800,4800,POLAKI
mandal_04801,4801,GARA
mandal_04802,4802,SRIKAKULAM
mandal_04803,4803,PONDURU
mandal_04804,4804,LAVERU
mandal_04805,4805,RANASTALAM
mandal_04806,4806,ETCHERLA
mandal_04807,4807,KOMARADA
mandal_04808,4808,GUMMALAKSHMIPURAM
mandal_04809,4809,KURUPAM
mandal_04810,4810,JIYYAMMAVALASA
mandal_04811,4811,GARUGUBILLI
mandal_04812,4812,PARVATHIPURAM
mandal_04813,4813,MAKKUVA
mandal_04814,4814,SEETHANAGARAM
mandal_04815,4815,BALIJIPETA
mandal_04816,4816,BOBBILI
mandal_04817,4817,SALUR
mandal_04818,4818,PACHIPENTA
mandal_04819,4819,RAMABHADRAPURAM
mandal_04820,4820,BADANGI
mandal_04821,4821,THERLAM
mandal_04822,4822,MERAKAMUDIDAM
mandal_04823,4823,DATTIRAJERU
mandal_04824,4824,MENTADA
mandal_04825,4825,GAJAPATHINAGARAM
mandal_04826,4826,GARIVIDI
mandal_04827,4827,CHEEPURUPALLI
mandal_04828,4828,GURLA
mandal_04829,4829,BONDAPALLI
mandal_04830,4830,GANTYADA
mandal_04831,4831,SRUNGAVARAPUKOTA
mandal_04832,4832,VEPADA
mandal_04833,4833,LAKKAVARAPUKOTA
mandal_04834,4834,KOTHAVALASA
mandal_04835,4835,JAMI
mandal_04836,4836,VIZIANAGARAM RURAL
mandal_04837,4837,NELLIMARLA
mandal_04838,4838,POOSAPATIREGA
mandal_04839,4839,DENKADA
mandal_04840,4840,BHOGAPURAM
mandal_04841,4841,MUNCHINGI PUTTU
mandal_04842,4842,PEDA BAYALU
mandal_04843,4843,DUMBRIGUDA
mandal_04844,4844,ARAKU VALLEY
mandal_04845,4845,ANANTHAGIRI
mandal_04846,4846,HUKUMPETA
mandal_04847,4847,PADERU
mandal_04848,4848,G.MADUGULA
mandal_04849,4849,CHINTHAPALLI
mandal_04850,4850,GUDEM KOTHA VEEDHI
mandal_04851,4851,KOYYURU
mandal_04852,4852,NATHAVARAM
mandal_04853,4853,GOLUGONDA
mandal_04854,4854,NARSIPATNAM
mandal_04855,4855,ROLUGUNTA
mandal_04856,4856,RAVIKAMATHAM
mandal_04857,4857,MADUGULA
mandal_04858,4858,CHEEDIKADA
mandal_04859,4859,DEVARAPALLI
mandal_04860,4860,K.KOTAPADU
mandal_04861,4861,SABBAVARAM
mandal_04862,4862,PENDURTHI
mandal_04863,4863,ANANDAPURAM
mandal_04864,4864,PADMANABHAM
mandal_04865,4865,BHEEMUNIPATNAM
mandal_04866,4866,VISAKHAPATNAM (RURAL)
mandal_04868,4868,PEDAGANTYADA
mandal_04869,4869,GAJUWAKA
mandal_04870,4870,PARAVADA
mandal_04871,4871,ANAKAPALLI
mandal_04872,4872,CHODAVARAM
mandal_04873,4873,BUTCHAYYAPETA
mandal_04874,4874,KOTAURATLA
mandal_04875,4875,MAKAVARAPALEM
mandal_04876,4876,KASIMKOTA
mandal_04877,4877,MUNAGAPAKA
mandal_04878,4878,ATCHUTHAPURAM
mandal_04879,4879,YELAMANCHILI
mandal_04880,4880,NAKKAPALLI
mandal_04881,4881,PAYAKARAOPETA
mandal_04882,4882,S.RAYAVARAM
mandal_04883,4883,RAMBILLI
mandal_04884,4884,MAREDUMILLI
mandal_04885,4885,DEVIPATNAM
mandal_04886,4886,Y. RAMAVARAM
mandal_04887,4887,ADDATEEGALA
mandal_04888,4888,RAJAVOMMANGI
mandal_04889,4889,KOTANANDURU
mandal_04890,4890,TUNI
mandal_04891,4891,ROWTHULAPUDI
mandal_04892,4892,SANKHAVARAM
mandal_04893,4893,YELESWARAM
mandal_04894,4894,GANGAVARAM
mandal_04895,4895,RAMPACHODAVARAM
mandal_04896,4896,SEETHANAGARAM
mandal_04897,4897,GOKAVARAM
mandal_04898,4898,JAGGAMPETA
mandal_04899,4899,KIRLAMPUDI
mandal_04900,4900,PRATHIPADU
mandal_04901,4901,THONDANGI
mandal_04902,4902,GOLLAPROLU
mandal_04903,4903,PEDDAPURAM
mandal_04904,4904,GANDEPALLI
mandal_04905,4905,KORUKONDA
mandal_04906,4906,RAJAMAHENDRAVARAM URBAN
mandal_04907,4907,RAJAMAHENDRAVARAM RURAL
mandal_04908,4908,RAJANAGARAM
mandal_04909,4909,RANGAMPETA
mandal_04910,4910,SAMALKOTA
mandal_04911,4911,PITHAPURAM
mandal_04912,4912,U.KOTHAPALLI
mandal_04913,4913,KAKINADA (RURAL)
mandal_04914,4914,KAKINADA (URBAN)
mandal_04915,4915,PEDAPUDI
mandal_04916,4916,BICCAVOLU
mandal_04917,4917,ANAPARTHI
mandal_04918,4918,KADIAM
mandal_04919,4919,ATREYAPURAM
mandal_04920,4920,MANDAPETA
mandal_04921,4921,RAYAVARAM
mandal_04922,4922,KARAPA
mandal_04923,4923,KAJULURU
mandal_04924,4924,RAMACHANDRAPURAM
mandal_04925,4925,ALAMURU
mandal_04926,4926,RAVULAPALEM
mandal_04927,4927,KOTHAPETA
mandal_04928,4928,KAPILESWARAPURAM
mandal_04929,4929,K GANGAVARAM
mandal_04930,4930,TALLAREVU
mandal_04931,4931,I. POLAVARAM
mandal_04932,4932,MUMMIDIVARAM
mandal_04933,4933,AINAVILLI
mandal_04934,4934,P.GANNAVARAM
mandal_04935,4935,AMBAJIPETA
mandal_04936,4936,MAMIDIKUDURU
mandal_04937,4937,RAZOLE
mandal_04938,4938,MALIKIPURAM
mandal_04939,4939,SAKHINETIPALLI
mandal_04940,4940,ALLAVARAM
mandal_04941,4941,AMALAPURAM
mandal_04942,4942,UPPALAGUPTAM
mandal_04943,4943,KATRENIKONA
mandal_04944,4944,CHINTALAPUDI
mandal_04945,4945,LINGAPALEM
mandal_04946,4946,T.NARASAPURAM
mandal_04947,4947,JEELUGU MILLI
mandal_04948,4948,BUTTAYAGUDEM
mandal_04949,4949,POLAVARAM
mandal_04950,4950,TALLAPUDI
mandal_04951,4951,GOPALAPURAM
mandal_04952,4952,KOYYALAGUDEM
mandal_04953,4953,JANGAREDDIGUDEM
mandal_04954,4954,KAMAVARAPUKOTA
mandal_04955,4955,DWARAKATIRUMALA
mandal_04956,4956,NALLAJERLA
mandal_04957,4957,DEVARAPALLE
mandal_04958,4958,KOVVUR
