region_id,lgd_code,name
district_502,502,ANANTHAPURAMU
district_503,503,CHITTOOR
district_504,504,Y.S.R.KADAPA
district_505,505,EAST GODAVARI
district_506,506,GUNTUR
district_510,510,KRISHNA
district_511,511,KURNOOL
district_515,515,S.P.S.NELLORE
district_517,517,PRAKASAM
district_519,519,SRIKAKULAM
district_520,520,VISAKHAPATNAM
district_521,521,VIZIANAGARAM
district_523,523,WEST GODAVARI
district_743,743,PARVATHIPURAM MANYAM
district_744,744,ANAKAPALLI
district_745,745,ALLURI SITHARAMA RAJU
district_746,746,KAKINADA
district_747,747,DR. B.R. AMBEDKAR KONASEEMA
district_748,748,ELURU
district_749,749,NTR
district_750,750,BAPATLA
district_751,751,PALNADU
district_752,752,TIRUPATI
district_753,753,ANNAMAYYA
district_754,754,SRI SATHYA SAI
district_755,755,NANDYAL
district_790,790,MARKAPURAM
district_791,791,POLAVARAM
