region_id,lgd_code,name
mandal_04731,74504731,KUNAVARAM
mandal_04732,74504732,CHINTUR
mandal_04733,74504733,VARARAMACHANDRAPURAM
mandal_04734,74804734,VELAIRPADU
mandal_04735,74804735,KUKUNOOR
mandal_04769,74304769,VEERAGHATTAM
mandal_04770,74304770,SEETHAMPETA
mandal_04771,74304771,BHAMINI
mandal_04772,54204772,KOTHURU
mandal_04773,54204773,PATHAPATNAM
mandal_04774,54204774,MELIAPUTTI
mandal_04775,54204775,PALASA
mandal_04776,54204776,MANDASA
mandal_04777,54204777,KANCHILI
mandal_04778,54204778,ICHCHAPURAM
mandal_04779,54204779,KAVITI
mandal_04780,54204780,SOMPETA
mandal_04781,54204781,VAJRAPUKOTHURU
mandal_04782,54204782,NANDIGAM
mandal_04783,54204783,HIRAMANDALAM
mandal_04784,74304784,PALAKONDA
mandal_04785,54304785,VANGARA
mandal_04786,54304786,REGIDIAMADALAVALASA
mandal_04787,54204787,LAKSHMINARSUPETA
mandal_04788,54204788,SARAVAKOTA
mandal_04789,54204789,TEKKALI
mandal_04790,54204790,SANTHABOMMALI
mandal_04791,54204791,KOTABOMMALI
mandal_04792,54204792,JALUMURU
mandal_04793,54204793,SARUBUJJILI
mandal_04794,54204794,BURJA
mandal_04795,54304795,SANTHAKAVITI
mandal_04796,54304796,RAJAM
mandal_04797,54204797,GANGUVARISIGADAM
mandal_04798,54204798,AMADALAVALASA
mandal_04799,54204799,NARASANNAPETA
mandal_04800,54204800,POLAKI
mandal_04801,54204801,GARA
mandal_04802,54204802,SRIKAKULAM
mandal_04803,54204803,PONDURU
mandal_04804,54204804,LAVERU
mandal_04805,54204805,RANASTALAM
mandal_04806,54204806,ETCHERLA
mandal_04807,74304807,KOMARADA
mandal_04808,74304808,GUMMALAKSHMIPURAM
mandal_04809,74304809,KURUPAM
mandal_04810,74304810,JIYYAMMAVALASA
mandal_04811,74304811,GARUGUBILLI
mandal_04812,74304812,PARVATHIPURAM
mandal_04813,74304813,MAKKUVA
mandal_04814,74304814,SEETHANAGARAM
mandal_04815,74304815,BALIJIPETA
mandal_04816,54304816,BOBBILI
mandal_04817,74304817,SALUR
mandal_04818,74304818,PACHIPENTA
mandal_04819,54304819,RAMABHADRAPURAM
mandal_04820,54304820,BADANGI
mandal_04821,54304821,THERLAM
mandal_04822,54304822,MERAKAMUDIDAM
mandal_04823,54304823,DATTIRAJERU
mandal_04824,54304824,MENTADA
mandal_04825,54304825,GAJAPATHINAGARAM
mandal_04826,54304826,GARIVIDI
mandal_04827,54304827,CHEEPURUPALLE
mandal_04828,54304828,GURLA
mandal_04829,54304829,BONDAPALLE
mandal_04830,54304830,GANTYADA
mandal_04831,54304831,SRUNGAVARAPUKOTA
mandal_04832,54304832,VEPADA
mandal_04833,54304833,LAKKAVARAPUKOTA
mandal_04834,54304834,KOTHAVALASA
mandal_04835,54304835,JAMI
mandal_04836,54304836,VIZIANAGARAM RURAL
mandal_04837,54304837,NELLIMARLA
mandal_04838,54304838,PUSAPATIREGA
mandal_04839,54304839,DENKADA
mandal_04840,54304840,BHOGAPURAM
mandal_04841,74504841,MUNCHINGI PUTTU
mandal_04842,74504842,PEDA BAYALU
mandal_04843,74504843,DUMBRIGUDA
mandal_04844,74504844,ARAKU VALLEY
mandal_04845,74504845,ANANTHAGIRI
mandal_04846,74504846,HUKUMPETA
mandal_04847,74504847,PADERU
mandal_04848,74504848,G.MADUGULA
mandal_04849,74504849,CHINTAPALLE
mandal_04850,74504850,GUDEM KOTHA VEEDHI
mandal_04851,74504851,KOYYURU
mandal_04852,74404852,NATHAVARAM
mandal_04853,74404853,GOLUGONDA
mandal_04854,74404854,NARSIPATNAM
mandal_04855,74404855,ROLUGUNTA
mandal_04856,74404856,RAVIKAMATHAM
mandal_04857,74404857,MADUGULA
mandal_04858,74404858,CHEEDIKADA
mandal_04859,74404859,DEVARAPALLE
mandal_04860,74404860,K.KOTAPADU
mandal_04861,74404861,SABBAVARAM
mandal_04862,54404862,PENDURTHI
mandal_04863,54404863,ANANDAPURAM
mandal_04864,54404864,PADMANABHAM
mandal_04865,54404865,BHEEMUNIPATNAM
mandal_04866,54404866,VISAKHAPATNAM (RURAL)
mandal_04868,54404868,PEDAGANTYADA
mandal_04869,54404869,GAJUWAKA
mandal_04870,74404870,PARAVADA
mandal_04871,74404871,ANAKAPALLE
mandal_04872,74404872,CHODAVARAM
mandal_04873,74404873,BUTCHAYYAPETA
mandal_04874,74404874,KOTAURATLA
mandal_04875,74404875,MAKAVARAPALEM
mandal_04876,74404876,KASIMKOTA
mandal_04877,74404877,MUNAGAPAKA
mandal_04878,74404878,ATCHUTAPURAM
mandal_04879,74404879,YELAMANCHILI
mandal_04880,74404880,NAKKAPALLE
mandal_04881,74404881,PAYAKARAOPETA
mandal_04882,74404882,S.RAYAVARAM
mandal_04883,74404883,RAMBILLI
mandal_04884,74504884,MAREDUMILLI
mandal_04885,74504885,DEVIPATNAM
mandal_04886,74504886,Y.RAMAVARAM
mandal_04887,74504887,ADDATEEGALA
mandal_04888,74504888,RAJAVOMMANGI
mandal_04889,74604889,KOTANANDURU
mandal_04890,74604890,TUNI
mandal_04891,74604891,ROWTHULAPUDI
mandal_04892,74604892,SANKHAVARAM
mandal_04893,74604893,YELESWARAM
mandal_04894,74504894,GANGAVARAM
mandal_04895,74504895,RAMPACHODAVARAM
mandal_04896,54504896,SEETHANAGARAM
mandal_04897,54504897,GOKAVARAM
mandal_04898,74604898,JAGGAMPETA
mandal_04899,74604899,KIRLAMPUDI
mandal_04900,74604900,PRATHIPADU
mandal_04901,74604901,THONDANGI
mandal_04902,74604902,GOLLAPROLU
mandal_04903,74604903,PEDDAPURAM
mandal_04904,74604904,GANDEPALLE
mandal_04905,54504905,KORUKONDA
mandal_04906,54504906,RAJAHMUNDRY (URBAN)
mandal_04907,54504907,RAJAHMUNDRY (RURAL)
mandal_04908,54504908,RAJANAGARAM
mandal_04909,54504909,RANGAMPETA
mandal_04910,74604910,SAMALKOTA
mandal_04911,74604911,PITHAPURAM
mandal_04912,74604912,U.KOTHAPALLE
mandal_04913,74604913,KAKINADA (RURAL)
mandal_04914,74604914,KAKINADA (URBAN)
mandal_04915,74604915,PEDAPUDI
mandal_04916,54504916,BICCAVOLU
mandal_04917,54504917,ANAPARTHY
mandal_04918,54504918,KADIAM
mandal_04919,74704919,ATREYAPURAM
mandal_04920,74704920,MANDAPETA
mandal_04921,74704921,RAYAVARAM
mandal_04922,74604922,KARAPA
mandal_04923,74604923,KAJULURU
mandal_04924,74704924,RAMACHANDRAPURAM
mandal_04925,74704925,ALAMURU
mandal_04926,74704926,RAVULAPALEM
mandal_04927,74704927,KOTHAPETA
mandal_04928,74704928,KAPILESWARAPURAM
mandal_04929,74704929,KOTIPALLI GANGAVARAM
mandal_04930,74604930,THALLAREVU
mandal_04931,74704931,I. POLAVARAM
mandal_04932,74704932,MUMMIDIVARAM
mandal_04933,74704933,AINAVILLI
mandal_04934,74704934,P.GANNAVARAM
mandal_04935,74704935,AMBAJIPETA
mandal_04936,74704936,MAMIDIKUDURU
mandal_04937,74704937,RAZOLE
mandal_04938,74704938,MALIKIPURAM
mandal_04939,74704939,SAKHINETIPALLE
mandal_04940,74704940,ALLAVARAM
mandal_04941,74704941,AMALAPURAM
mandal_04942,74704942,UPPALAGUPTAM
mandal_04943,74704943,KATRENIKONA
mandal_04944,74804944,CHINTALAPUDI
mandal_04945,74804945,LINGAPALEM
mandal_04946,74804946,T.NARASAPURAM
mandal_04947,74804947,JEELUGU MILLI
mandal_04948,74804948,BUTTAYAGUDEM
mandal_04949,74804949,POLAVARAM
mandal_04950,54504950,TALLAPUDI
mandal_04951,54504951,GOPALAPURAM
mandal_04952,74804952,KOYYALAGUDEM
mandal_04953,74804953,JANGAREDDIGUDEM
mandal_04954,74804954,KAMAVARAPUKOTA
mandal_04955,74804955,DWARAKA TIRUMALA
mandal_04956,54504956,NALLAJERLA
mandal_04957,54504957,DEVARAPALLE
mandal_04958,54504958,KOVVUR
mandal_04959,54504959,CHAGALLU
mandal_04960,54504960,NIDADAVOLE
mandal_04961,54604961,TADEPALLIGUDEM
mandal_04962,74804962,UNGUTUR
mandal_04963,74804963,BHIMADOLE
mandal_04964,74804964,PEDAVEGI
mandal_04965,74804965,PEDAPADU
mandal_04966,74804966,ELURU_RURAL
mandal_04967,74804967,DENDULURU
mandal_04968,74804968,NIDAMARRU
mandal_04969,54604969,PENTAPADU
mandal_04970,54504970,UNDRAJAVARAM
mandal_04971,54504971,PERAVALI
mandal_04972,54604972,TANUKU
mandal_04973,54604973,ATTILI
mandal_04974,74804974,GANAPAVARAM
mandal_04975,54604975,AKIVIDU
mandal_04976,54604976,UNDI
mandal_04977,54604977,PALACODERU
mandal_04978,54604978,PENUMANTRA
mandal_04979,54604979,IRAGAVARAM
mandal_04980,54604980,PENUGONDA
mandal_04981,54604981,ACHANTA
mandal_04982,54604982,PODURU
mandal_04983,54604983,VEERAVASARAM
mandal_04984,54604984,BHIMAVARAM
mandal_04985,54604985,KALLA
mandal_04986,54604986,MOGALTHUR
mandal_04987,54604987,NARASAPURAM
mandal_04988,54604988,PALACOLE
mandal_04989,54604989,YELAMANCHILI
mandal_04990,74904990,VATSAVAI
mandal_04991,74904991,JAGGAYYAPETA
mandal_04992,74904992,PENUGANCHIPROLU
mandal_04993,74904993,NANDIGAMA
mandal_04994,74904994,VEERULLAPADU
mandal_04995,74904995,MYLAVARAM
mandal_04996,74904996,GAMPALAGUDEM
mandal_04997,74904997,TIRUVURU
mandal_04998,74904998,A.KONDURU
mandal_04999,74904999,REDDIGUDEM
mandal_05000,74905000,VISSANNAPET
mandal_05001,74805001,CHATRAI
mandal_05002,74805002,MUSUNURU
mandal_05003,74805003,NUZVID
mandal_05004,54705004,BAPULAPADU
mandal_05005,74805005,AGIRIPALLE
mandal_05006,74905006,G.KONDURU
mandal_05007,74905007,KANCHIKACHERLA
mandal_05008,74905008,CHANDARLAPADU
mandal_05009,74905009,IBRAHIMPATNAM
mandal_05010,74905010,VIJAYAWADA CENTRAL
mandal_05011,74905011,VIJAYAWADA (RURAL)
mandal_05012,54705012,GANNAVARAM
mandal_05013,54705013,UNGUTURU
mandal_05014,54705014,NANDIVADA
mandal_05015,74805015,MANDAVALLI
mandal_05016,74805016,KAIKALUR
mandal_05017,74805017,KALIDINDI
mandal_05018,54705018,KRUTHIVENNU
mandal_05019,54705019,BANTUMILLI
mandal_05020,74805020,MUDINEPALLE
mandal_05021,54705021,GUDIVADA
mandal_05022,54705022,PEDAPARUPUDI
mandal_05023,54705023,KANKIPADU
mandal_05024,54705024,PENAMALURU
mandal_05025,54705025,THOTLAVALLURU
mandal_05026,54705026,PAMIDIMUKKALA
mandal_05027,54705027,VUYYURU
mandal_05028,54705028,PAMARRU
mandal_05029,54705029,GUDLAVALLERU
mandal_05030,54705030,PEDANA
mandal_05031,54705031,GUDURU
mandal_05032,54705032,MOVVA
mandal_05033,54705033,GHANTASALA
mandal_05034,54705034,MACHILIPATNAM_SOUTH
mandal_05035,54705035,CHALLAPALLE
mandal_05036,54705036,MOPIDEVI
mandal_05037,54705037,AVANIGADDA
mandal_05038,54705038,NAGAYALANKA
mandal_05039,54705039,KODURU
mandal_05040,75105040,MACHERLA
mandal_05041,75105041,VELDURTHI
mandal_05042,75105042,DURGI
mandal_05043,75105043,RENTACHINTALA
mandal_05044,75105044,GURAZALA
mandal_05045,75105045,DACHEPALLE
mandal_05046,75105046,KAREMPUDI
mandal_05047,75105047,PIDUGURALLA
mandal_05048,75105048,MACHAVARAM
mandal_05049,75105049,BELLAMKONDA
mandal_05050,75105050,ATCHAMPET
mandal_05051,75105051,KROSURU
mandal_05052,75105052,AMARAVATHI
mandal_05053,54805053,THULLUR
mandal_05054,54805054,TADEPALLE
mandal_05055,54805055,MANGALAGIRI
mandal_05056,54805056,TADIKONDA
mandal_05057,75105057,PEDAKURAPADU
mandal_05058,75105058,SATTENAPALLE
mandal_05059,75105059,RAJUPALEM
mandal_05060,75105060,NEKARIKALLU
mandal_05061,75105061,BOLLAPALLE
mandal_05062,75105062,VINUKONDA
mandal_05063,75105063,NUZENDLA
mandal_05064,75105064,SAVALYAPURAM
mandal_05065,75105065,IPUR
mandal_05066,75105066,ROMPICHERLA
mandal_05067,75105067,NARASARAOPET
mandal_05068,75105068,MUPPALLA
mandal_05069,75105069,NADENDLA
mandal_05070,75105070,CHILAKALURIPET
mandal_05071,75105071,EDLAPADU
mandal_05072,54805072,PHIRANGIPURAM
mandal_05073,54805073,MEDIKONDURU
mandal_05074,54805074,GUNTUR WEST
mandal_05075,54805075,PEDAKAKANI
mandal_05076,54805076,DUGGIRALA
mandal_05077,54805077,KOLLIPARA
mandal_05078,54805078,TENALI
mandal_05079,54805079,CHEBROLU
mandal_05080,54805080,VATTICHERUKURU
mandal_05081,54805081,PRATHIPADU
mandal_05082,54805082,PEDANANDIPADU
mandal_05083,54805083,KAKUMANU
mandal_05084,54805084,PONNUR
mandal_05085,75005085,TSUNDUR
mandal_05086,75005086,AMRUTHALUR
mandal_05087,75005087,VEMURU
mandal_05088,75005088,KOLLUR
mandal_05089,75005089,BHATTIPROLU
mandal_05090,75005090,CHERUKUPALLE
mandal_05091,75005091,PITTALAVANIPALEM
mandal_05092,75005092,KARLAPALEM
mandal_05093,75005093,BAPATLA
mandal_05094,75005094,NIZAMPATNAM
mandal_05095,75005095,NAGARAM
mandal_05096,75005096,REPALLE
mandal_05097,54905097,YERRAGONDAPALEM
mandal_05098,54905098,PULLALACHERUVU
mandal_05099,54905099,TRIPURANTHAKAM
mandal_05100,54905100,DORNALA
mandal_05101,54905101,PEDA  ARAVEEDU
mandal_05102,54905102,DONAKONDA
mandal_05103,54905103,KURICHEDU
mandal_05104,75005104,SANTHAMAGULURU
mandal_05105,75005105,BALLIKURAVA
mandal_05106,75005106,MARTUR
mandal_05107,75005107,YEDDANAPUDI
mandal_05108,75005108,PARCHUR
mandal_05109,75005109,KARAMCHEDU
mandal_05110,75005110,INKOLLU
mandal_05111,75005111,JANAKAVARAMPANGULURU
mandal_05112,75005112,ADDANKI
mandal_05113,54905113,MUNDLAMURU
mandal_05114,54905114,DARSI
mandal_05115,54905115,MARKAPUR
mandal_05116,54905116,ARDHAVEEDU
mandal_05117,54905117,CUMBUM
mandal_05118,54905118,TARLUPADU
mandal_05119,54905119,KONAKANAMITLA
mandal_05120,54905120,PODILI
mandal_05121,54905121,THALLUR
mandal_05122,75005122,KORISAPADU
mandal_05123,75005123,CHIRALA
mandal_05124,75005124,VETAPALEM
mandal_05125,75005125,CHINAGANJAM
mandal_05126,54905126,NAGULUPPALAPADU
mandal_05127,54905127,MADDIPADU
mandal_05128,54905128,CHIMAKURTHI
mandal_05129,54905129,MARRIPUDI
mandal_05130,54905130,HANUMANTHUNIPADU
mandal_05131,54905131,BESTAWARIPETA
mandal_05132,54905132,RACHERLA
mandal_05133,54905133,GIDDALUR
mandal_05134,54905134,KOMAROLU
mandal_05135,54905135,VELIGANDLA
mandal_05136,54905136,KANIGIRI
mandal_05137,54905137,KONDAPI
mandal_05138,54905138,SANTHANUTHALA PADU
mandal_05139,54905139,ONGOLE_RURAL
mandal_05140,54905140,KOTHA PATNAM
mandal_05141,54905141,TANGUTUR
mandal_05142,54905142,ZARUGUMILLI
mandal_05143,54905143,PONNALURU
mandal_05144,54905144,PEDACHERLO PALLE
mandal_05145,54905145,CHANDRASEKHARA PURAM
mandal_05146,54905146,PAMUR
mandal_05147,55005147,VOLETIVARIPALEM
mandal_05148,55005148,KANDUKUR
mandal_05149,54905149,SINGARAYAKONDA
mandal_05150,55005150,LINGASAMUDRAM
mandal_05151,55005151,GUDLURU
mandal_05152,55005152,ULAVAPADU
mandal_05153,55005153,SEETHARAMAPURAM
mandal_05154,55005154,UDAYAGIRI
mandal_05155,55005155,VARIKUNTAPADU
mandal_05156,55005156,KONDAPURAM
