region_id,lgd_code,name
village_579013,579013,MADIMERU
village_579014,579014,KANNAIGUDEM
village_579015,579015,MIDFORDPETA
village_579016,579016,THALLAGUDEM
village_579017,579017,GOTTUGUDEM
village_579018,579018,FERGUSANPETA
village_579019,579019,THUNIKICHERUVU
village_579020,579020,SREENIVASAPURAM
village_579021,579021,LINGALAPALLE
village_579022,579022,RAMAGOPALAPURAM
village_579023,579023,PATTUCHEERA
village_579024,579024,BURUGUVAI
village_579025,579025,LAXMIPURAM
village_579026,579026,MADHAVARAOPETA
village_579027,579027,GOLLAGUPPA
village_579028,579028,BANDIREVU
village_579029,579029,CHINNA BANDIREVU
village_579030,579030,RANGAPURAM
village_579031,579031,KANNAPURAM
village_579032,579032,VISWAPURAM
village_579033,579033,YERRABORU
village_579034,579034,KANNAPURAM
village_579035,579035,DAMMAPETA
village_579036,579036,NARASINGAPETA
village_579037,579037,PITCHIKALAPADU
village_579038,579038,SEETHAMPETA
village_579039,579039,CHINTHALAGUDEM
village_579040,579040,KOLANUGUDEM
village_579041,579041,CHANDRAMPALEM
village_579042,579042,YETAPAKA
village_579043,579043,LAKSHMIDEVIPETA
village_579044,579044,PURUSHOTHAPATNAM
village_579045,579045,SEETARAMAPURAM
village_579046,579046,GUNDALA
village_579047,579047,K. NARAYANAPURAM
village_579048,579048,PINAPALLE
village_579049,579049,RAYANAPETA
village_579050,579050,PENUBALLE
village_579051,579051,PANDURANGAPURAM
village_579052,579052,YERRAGUNTA
village_579053,579053,CHOWDAVARAM
village_579054,579054,CHINNA NALLAKUNTA
village_579055,579055,NALLAKUNTA
village_579056,579056,NELLIPAKA
village_579057,579057,BUTTAIGUDEM
village_579058,579058,DEVARAPALLE
village_579059,579059,GOGUBAKA
village_579060,579060,GOMMU KOYAGUDEM
village_579061,579061,KAPAVARAM
village_579062,579062,KOTHAGUDEM
village_579063,579063,BODDUGUDEM
village_579064,579064,AYYAVARIPETA
village_579065,579065,TRIPURA PENTA VEEDU
village_579066,579066,GOLLAGUDEM
