region_id,lgd_code,name
block_3276,3276,ANUGUL
block_3277,3277,ATHMALLIK
block_3278,3278,BANARPAL
block_3279,3279,CHHENDIPADA
block_3280,3280,KANIHA
block_3281,3281,KISHORENAGAR
block_3282,3282,PALALAHADA
block_3283,3283,TALACHER
block_3284,3284,AGALPUR
block_3285,3285,BALANGIR
block_3286,3286,BANGOMUNDA
block_3287,3287,BELPARA
block_3288,3288,DEOGAON
block_3289,3289,GUDVELLA
block_3290,3290,KHAPRAKHOL
block_3291,3291,LOISINGA
block_3292,3292,MURIBAHAL
block_3293,3293,PATNAGARH
block_3294,3294,PUINTALA
block_3295,3295,SAINTALA
block_3296,3296,TITLAGARH
block_3297,3297,TUREKELA
block_3298,3298,BAHANAGA
block_3299,3299,BALESHWAR
block_3300,3300,BALIAPAL
block_3301,3301,BASTA
block_3302,3302,BHOGRAI
block_3303,3303,JALESWAR
block_3304,3304,KHAIRA
block_3305,3305,NILGIRI
block_3306,3306,OUPADA
block_3307,3307,REMUNA
block_3308,3308,SIMULIA
block_3309,3309,SORO
block_3310,3310,AMBABHONA
block_3311,3311,ATTABIRA
block_3312,3312,BARGARH
block_3313,3313,BARPALI
block_3314,3314,BHATLI
block_3315,3315,BHEDEN
block_3316,3316,BIJEPUR
block_3317,3317,GAISILET
block_3318,3318,JHARBANDH
block_3319,3319,PADAMPUR
block_3320,3320,PAIKMAL
block_3321,3321,SOHELLA
block_3322,3322,BASUDEVPUR
block_3323,3323,BHADRAK
block_3324,3324,BHANDARIPOKHARI
block_3325,3325,BONTH
block_3326,3326,CHANDABALI
block_3327,3327,DHAMANAGAR
block_3328,3328,TIHIDI
block_3329,3329,BOUDH
block_3330,3330,HARABHANGA
block_3331,3331,KANTAMAL
block_3332,3332,ATHAGAD
block_3333,3333,BADAMBA
block_3334,3334,BANKI
block_3335,3335,BANKI- DAMPARA
block_3336,3336,BARANGA
block_3337,3337,CUTTACKSADAR
block_3338,3338,KANTAPADA
block_3339,3339,MAHANGA
block_3340,3340,NARASINGHPUR
block_3341,3341,NIALI
block_3342,3342,NISCHINTA KOILI
block_3343,3343,SALEPUR
block_3344,3344,TANGI CHOUDWAR
block_3345,3345,TIGIRIA
block_3346,3346,BARKOTE
block_3347,3347,REAMAL
block_3348,3348,TILEIBANI
block_3349,3349,BHUBAN
block_3350,3350,DHENKANAL SADAR
block_3351,3351,GONDIA
block_3352,3352,HINDOL
block_3353,3353,KAMAKHYANAGAR
block_3354,3354,KANKADA HAD
block_3355,3355,ODAPADA
block_3356,3356,PARJANG
block_3357,3357,GOSANI
block_3358,3358,GUMMA
block_3359,3359,KASINAGAR
block_3360,3360,MOHANA
block_3361,3361,NUAGADA
block_3362,3362,R.UDAYAGIRI
block_3363,3363,RAYAGADA
block_3364,3364,ASKA
block_3365,3365,BEGUNIAPADA
block_3366,3366,BELLAGUNTHA
block_3367,3367,BHANJANAGAR
block_3368,3368,BUGUDA
block_3369,3369,CHATRAPUR
block_3370,3370,CHIKITI
block_3371,3371,DHARAKOTE
block_3372,3372,DIGAPAHANDI
block_3373,3373,GANJAM
block_3374,3374,HINJILICUT
block_3375,3375,JAGANNATHPRASAD
block_3376,3376,KABISURYANAGAR
block_3377,3377,KHALLIKOTE
block_3378,3378,KUKUDAKHANDI
block_3379,3379,PATRAPUR
block_3380,3380,POLOSARA
block_3381,3381,PURUSHOTTAMPUR
block_3382,3382,RANGEILUNDA
block_3383,3383,SANAKHEMUNDI
block_3384,3384,SHERAGADA
block_3385,3385,SURADA
block_3386,3386,BALIKUDA
block_3387,3387,BIRIDI
block_3388,3388,ERASAMA
block_3389,3389,JAGATSINGHPUR
block_3390,3390,KUJANG
block_3391,3391,NAUGAON
block_3392,3392,RAGHUNATHPUR
block_3393,3393,TIRTOL
block_3394,3394,BADCHANA
block_3395,3395,BARI
