region_id,lgd_code,name
village_379717,379717,JOGENDANATHPUR
village_379718,379718,BHUBANESWARPUR
village_379719,379719,CHHATAGAON
village_379720,379720,GHUCHAPALI
village_379721,379721,KUTURAMAL
village_379722,379722,MANDIADHIPA
village_379723,379723,HIRAPUR
village_379724,379724,CHUHAPALI
village_379725,379725,KECHHODADAR
village_379726,379726,FREJARPUR
village_379727,379727,CHHELIAMAL
village_379728,379728,SUKHATAL
village_379729,379729,TEMRI
village_379730,379730,DHANDUPALI
village_379731,379731,SODHA
village_379732,379732,KHURSAPALI
village_379733,379733,JHENGNADIHI
village_379734,379734,NAGDIHI
village_379735,379735,KUAPALI
village_379736,379736,MAHULPALI
village_379737,379737,PALSADA
village_379738,379738,GOEBAHALI
village_379739,379739,KHAIRA
village_379740,379740,BIJADIHI
village_379741,379741,DENGALIKENDU
village_379742,379742,GANDPALI
village_379743,379743,KHANDSIBANJI
village_379744,379744,HARIDATAL
village_379745,379745,KERMELABAHAL
village_379746,379746,BHAGATPUR
village_379747,379747,BORASAMBAR
village_379748,379748,MALDA
village_379749,379749,BANMAL
village_379750,379750,SADANANDAPUR
village_379751,379751,RASMUNDA
village_379752,379752,BHENGARAJPUR
village_379753,379753,MAJHIPALI
village_379754,379754,LERGAON
village_379755,379755,PIPALPALI
village_379756,379756,JHARMUNDA
village_379757,379757,RANJITPUR
village_379758,379758,KHANDIJHARAN
village_379759,379759,MAHARANIMERIPUR
village_379760,379760,SALHEPALI
village_379761,379761,GEORGEGARH
village_379762,379762,DURGAPALI
village_379763,379763,DANDAPAT
village_379764,379764,PAIKAMAL
village_379765,379765,NUAGAON
village_379766,379766,KENABUDA
village_379767,379767,KARLAMAL
village_379768,379768,KOKNARA
village_379769,379769,DUNGURIPALI
village_379770,379770,BUTURAKHAMAR
village_379771,379771,KATANGPALI
village_379772,379772,MUNDHELA
village_379773,379773,BRAHMANDIHI
village_379774,379774,PARASKHANDI
village_379775,379775,JHITIKI
village_379776,379776,KAPILASPUR
village_379777,379777,PATHREL
village_379778,379778,KHALIAMUNDA
village_379779,379779,DHENKIMUNDA
village_379780,379780,BHUTMUNDA
village_379781,379781,DUMERBAHAL
village_379782,379782,NILATHAR
village_379783,379783,KANSADA
village_379784,379784,GADGAON
village_379785,379785,BARPALI
village_379786,379786,MUNEIKEL
village_379787,379787,MANMATHPALI
village_379788,379788,PIPALKHUNTA
village_379789,379789,MITHAPALI
village_379790,379790,GORANDA
village_379791,379791,MANBHANG
village_379792,379792,BAHABALMATH
village_379793,379793,KURADHIPHASA
village_379794,379794,LAUDMAL
village_379795,379795,PURENA
village_379796,379796,PATRAPALI
village_379797,379797,MOTIPALI
village_379798,379798,MARJADAPALI
village_379799,379799,BADIBAHAL
village_379800,379800,BHUIKHAR (BHUINKHAR)
village_379801,379801,BRAHMANTAL
village_379802,379802,KHARAMAL
village_379803,379803,BARTUNDA
village_379804,379804,BHERUAMUNDA
village_379805,379805,JAMSETH
village_379806,379806,CHERANGAJHANJ
village_379807,379807,KADOGHUCHA
village_379808,379808,MANDOSIL
village_379809,379809,DHAROL
village_379810,379810,MALPADA
village_379811,379811,CHHINDEIKELA
village_379812,379812,MAKHANAMUNDA
village_379813,379813,BARAPARLIA
village_379814,379814,GANJADABAR
village_379815,379815,JALGARH
village_379816,379816,JHARBANDHA
village_379817,379817,MENAKAMUNDA
village_379818,379818,TEMRIMAL
village_379819,379819,PATRAPALI
village_379820,379820,DUDUKIJHARIA
village_379821,379821,BADANKI
village_379822,379822,SUKAMANIPUR
village_379823,379823,KUKURIPALI
village_379824,379824,JODHPUR
village_379825,379825,UREIDADAR
village_379826,379826,DABPALI
village_379827,379827,KURLUPALI
village_379828,379828,BEHERADUBURI
village_379829,379829,LOHARSING
village_379830,379830,BHAISADARHA (BHAINSADARHA)
village_379831,379831,NILJIPATRA
village_379832,379832,LAUDIDARHA
village_379833,379833,GOUDMAL
village_379834,379834,KURMA
village_379835,379835,SIKARIPALI
village_379836,379836,DHAURABHATA
village_379837,379837,NUAPARA
village_379838,379838,PUTUKA
village_379839,379839,KHIRAPALI
village_379840,379840,LOHARAKOT
village_379841,379841,LAHANDIPUR
village_379842,379842,GUNDICHADIHI
village_379843,379843,CHARDAPALI
village_379844,379844,CHANGARIA
village_379845,379845,PUJHARIPALI
village_379846,379846,KUDHRENPALI
village_379847,379847,BAMBARIT
village_379848,379848,DARLIPALI
village_379849,379849,KULANTI
village_379850,379850,LAKHAMARA
village_379851,379851,MAHULPALI
village_379852,379852,DHUMABHATA
village_379853,379853,SAMBALPURI
village_379854,379854,SARAIKELA
village_379855,379855,SUKULIPAHAR
village_379856,379856,JAGADALPUR
village_379857,379857,MAHULPALI(SAN)
village_379858,379858,BADKANJARI
village_379859,379859,CHHOTKUNJARI
village_379860,379860,CHIROLI
village_379861,379861,JATESIRA (JATESARA)
village_379862,379862,DUNGURIPALI
village_379863,379863,MAHAGAON
village_379864,379864,TILEIDADAR
village_379865,379865,CHANDRAMANIPUR
village_379866,379866,DEWANPALI
village_379867,379867,NALIPANI
village_379868,379868,BHANDARPURI
